iter	Passed	Remaining
0	137	137732
1	142	70908
2	148	49262
3	151	37791
4	155	30949
5	162	26936
6	168	23889
7	174	21696
8	180	19846
9	186	18483
10	193	17394
11	199	16400
12	207	15760
13	211	14928
14	216	14221
15	222	13657
16	227	13150
17	233	12736
18	242	12510
19	248	12153
20	255	11913
21	262	11660
22	269	11465
23	275	11189
24	282	11034
25	287	10756
26	292	10527
27	300	10420
28	304	10211
29	311	10060
30	318	9952
31	323	9795
32	329	9668
33	335	9531
34	342	9433
35	349	9362
36	355	9254
37	363	9204
38	371	9146
39	378	9087
40	385	9019
41	390	8909
42	395	8811
43	403	8760
44	413	8784
45	420	8712
46	429	8705
47	435	8630
48	442	8578
49	447	8502
50	452	8413
51	461	8412
52	467	8347
53	474	8317
54	480	8254
55	486	8200
56	492	8145
57	498	8092
58	506	8075
59	520	8156
60	527	8112
61	532	8055
62	538	8010
63	542	7930
64	545	7841
65	549	7778
66	554	7718
67	557	7642
68	561	7570
69	564	7502
70	568	7444
71	572	7383
72	576	7321
73	582	7292
74	586	7234
75	589	7169
76	592	7105
77	596	7045
78	600	7001
79	603	6941
80	606	6882
81	609	6823
82	614	6789
83	618	6739
84	621	6688
85	624	6635
86	627	6583
87	631	6543
88	635	6508
89	639	6461
90	642	6417
91	647	6385
92	650	6343
93	653	6301
94	656	6256
95	660	6221
96	665	6193
97	667	6147
98	670	6106
99	674	6068
100	676	6023
101	679	5984
102	682	5946
103	685	5909
104	688	5870
105	693	5851
106	697	5818
107	700	5781
108	702	5746
109	706	5717
110	711	5699
111	715	5676
112	720	5654
113	726	5649
114	731	5626
115	735	5601
116	740	5585
117	742	5548
118	746	5523
119	749	5496
120	752	5467
121	757	5452
122	760	5424
123	764	5399
124	767	5374
125	772	5358
126	775	5330
127	778	5306
128	782	5280
129	785	5257
130	789	5237
131	792	5212
132	795	5186
133	798	5160
134	802	5143
135	805	5120
136	809	5096
137	812	5072
138	814	5047
139	818	5029
140	822	5012
141	825	4989
142	828	4965
143	831	4942
144	835	4928
145	838	4907
146	841	4885
147	844	4864
148	847	4842
149	851	4827
150	855	4808
151	857	4786
152	860	4765
153	863	4744
154	868	4732
155	871	4713
156	874	4695
157	877	4676
158	878	4649
159	883	4637
160	886	4620
161	889	4602
162	892	4584
163	895	4565
164	900	4555
165	903	4537
166	906	4520
167	909	4501
168	912	4487
169	917	4477
170	920	4463
171	924	4448
172	927	4434
173	932	4426
174	937	4417
175	940	4402
176	944	4390
177	948	4380
178	951	4365
179	954	4348
180	957	4332
181	961	4322
182	965	4308
183	967	4291
184	970	4275
185	973	4259
186	977	4250
187	982	4244
188	986	4232
189	989	4218
190	994	4211
191	997	4197
192	1000	4183
193	1003	4168
194	1006	4154
195	1010	4143
196	1013	4130
197	1016	4116
198	1019	4101
199	1022	4088
200	1026	4080
201	1029	4067
202	1032	4053
203	1035	4039
204	1038	4025
205	1042	4017
206	1046	4007
207	1049	3994
208	1052	3981
209	1056	3973
210	1059	3962
211	1062	3950
212	1065	3937
213	1068	3926
214	1073	3920
215	1077	3910
216	1080	3897
217	1082	3884
218	1085	3871
219	1090	3864
220	1093	3854
221	1096	3842
222	1099	3830
223	1103	3824
224	1108	3818
225	1112	3810
226	1118	3807
227	1122	3801
228	1127	3795
229	1131	3787
230	1135	3780
231	1139	3771
232	1142	3761
233	1146	3752
234	1153	3753
235	1157	3746
236	1160	3737
237	1165	3729
238	1169	3723
239	1172	3714
240	1176	3705
241	1180	3697
242	1185	3693
243	1189	3686
244	1193	3679
245	1198	3674
246	1203	3668
247	1207	3661
248	1212	3656
249	1217	3651
250	1222	3648
251	1227	3642
252	1233	3642
253	1237	3633
254	1240	3625
255	1246	3621
256	1249	3612
257	1251	3600
258	1254	3588
259	1257	3578
260	1261	3573
261	1265	3564
262	1268	3554
263	1271	3544
264	1274	3535
265	1279	3530
266	1283	3522
267	1286	3514
268	1290	3506
269	1295	3503
270	1299	3496
271	1302	3487
272	1306	3478
273	1312	3476
274	1316	3470
275	1319	3461
276	1323	3453
277	1327	3447
278	1329	3436
279	1332	3427
280	1336	3418
281	1340	3413
282	1343	3405
283	1347	3396
284	1350	3386
285	1352	3377
286	1358	3373
287	1361	3364
288	1364	3355
289	1366	3346
290	1370	3339
291	1375	3333
292	1378	3325
293	1381	3316
294	1384	3308
295	1389	3305
296	1393	3297
297	1396	3289
298	1400	3283
299	1406	3282
300	1410	3276
301	1414	3269
302	1419	3265
303	1424	3260
304	1427	3253
305	1430	3245
306	1435	3241
307	1439	3235
308	1443	3227
309	1446	3220
310	1453	3219
311	1457	3213
312	1462	3208
313	1467	3206
314	1471	3200
315	1474	3191
316	1477	3183
317	1480	3175
318	1486	3172
319	1489	3165
320	1492	3157
321	1496	3150
322	1501	3146
323	1504	3139
324	1509	3135
325	1515	3133
326	1519	3126
327	1522	3119
328	1526	3112
329	1529	3106
330	1534	3101
331	1538	3095
332	1541	3087
333	1544	3080
334	1549	3075
335	1552	3068
336	1556	3061
337	1559	3054
338	1563	3049
339	1567	3043
340	1570	3035
341	1573	3028
342	1578	3023
343	1582	3018
344	1585	3010
345	1589	3003
346	1594	3000
347	1598	2994
348	1602	2989
349	1605	2981
350	1611	2978
351	1615	2973
352	1618	2966
353	1621	2959
354	1625	2953
355	1629	2947
356	1632	2940
357	1635	2932
358	1638	2926
359	1644	2923
360	1647	2916
361	1651	2911
362	1657	2909
363	1662	2904
364	1665	2897
365	1668	2890
366	1673	2886
367	1677	2880
368	1680	2874
369	1684	2868
370	1690	2866
371	1695	2861
372	1699	2856
373	1705	2853
374	1708	2847
375	1711	2841
376	1715	2834
377	1718	2828
378	1723	2823
379	1726	2817
380	1729	2810
381	1732	2802
382	1737	2798
383	1740	2791
384	1743	2784
385	1745	2777
386	1749	2770
387	1753	2765
388	1756	2758
389	1759	2752
390	1763	2746
391	1768	2743
